1	Centre de Recherche sur l'Information Scientifique et Technique	Centre de Recherche sur l'Information Scientifique et Technique		0	www.cerist.dz	cerist	0
2	Centre des Energies Renouvelables	Centre des Energies Renouvelables		0	www.cder.dz	cder	0
3	Institut Africain des Sciences et de la Technologie pour l'Eau & l'Environnement	Institut Africain des Sciences et de la Technologie pour l'Eau & l'Environnement		0	www.2ie-edu.org	2ie-edu	0
4	Africa Rice Center	Africa Rice Center		0	www.warda.org	warda	0
5	Central Laboratory for Agricultural Expert Systems	Central Laboratory for Agricultural Expert Systems		0	www.claes.sci.eg	claes	0
6	World Agroforestry Centre	World Agroforestry Centre		0	www.worldagroforestry.org	worldagroforestry	0
7	International Livestock Research Institute	International Livestock Research Institute		0	www.ilri.org	ilri	0
8	African Wildlife Foundation	African Wildlife Foundation		0	www.awf.org	awf	0
9	Jozef Pilsudski University of Physical Education in Warsaw	Jozef Pilsudski University of Physical Education in Warsaw		0	www.awf.edu.pl	awf	0
10	African Medical Research Foundation	African Medical Research Foundation		0	www.amref.org	amref	0
11	Institut Marocain de LInformation Scientifique et Technique	Institut Marocain de LInformation Scientifique et Technique		0	www.imist.ma	imist	0
12	Centre National pour la Recherche Scientifique et Technique	Centre National pour la Recherche Scientifique et Technique		0	www.cnr.ac.ma	cnr	0
13	Consiglio Nazionale delle Ricerche CNR	Consiglio Nazionale delle Ricerche		0	www.cnr.it	cnr	0
14	Institute of Information Science and Technologies	Institute of Information Science and Technologies		13	www.isti.cnr.it	cnr	0
15	Servizio Reti e Telecomunicazioni	Servizio Reti e Telecomunicazioni		13	www.rm.cnr.it	cnr	0
16	Istituto di Scienze dell'Atmosfera e del Clima	Istituto di Scienze dell'Atmosfera e del Clima		13	www.isac.cnr.it	cnr	0
17	Istituto di Scienze e Tecnologie della Cognizione	Istituto di Scienze e Tecnologie della Cognizione		13	www.istc.cnr.it	cnr	0
18	Istituto di Informatica e Telematica	Istituto di Informatica e Telematica		13	www.iit.cnr.it	cnr	0
19	Istituto di Linguistica Computazionale	Istituto di Linguistica Computazionale		13	www.ilc.cnr.it	cnr	0
20	Istituto di Calcolo e Reti Ad Alte Prestazioni	Istituto di Calcolo e Reti Ad Alte Prestazioni		13	www.icar.cnr.it	cnr	0
21	Istituto per le Tecnologie Didattiche	Istituto per le Tecnologie Didattiche		13	www.itd.cnr.it	cnr	0
22	Istituto di Teoria e Tecniche dell'Informazione Giuridica	Istituto di Teoria e Tecniche dell'Informazione Giuridica		13	www.ittig.cnr.it	cnr	0
23	Istituto di Matematica Applicata e Tecnologie Informatiche	Istituto di Matematica Applicata e Tecnologie Informatiche		13	www.imati.cnr.it	cnr	0
24	Istituto di Radioastronomia	Istituto di Radioastronomia		13	www.ira.cnr.it	cnr	0
25	Istituto di Biometeorologia	Istituto di Biometeorologia		13	www.ibimet.cnr.it	cnr	0
26	Istituto di Geoscienze e Georisorse	Istituto di Geoscienze e Georisorse		13	www.igg.cnr.it	cnr	0
27	Istituto di Scienze Marine	Istituto di Scienze Marine		13	www.ismar.cnr.it	cnr	0
28	Istituto di Fisica Applicata Nello Carrara	Istituto di Fisica Applicata Nello Carrara		13	www.ifac.cnr.it	cnr	0
29	Istituto per i Processi Chimico Fisici	Istituto per i Processi Chimico Fisici		13	www.ipcf.cnr.it	cnr	0
30	Institute for Biomedical Technologies	Institute for Biomedical Technologies		13	www.itb.cnr.it	cnr	0
31	Istituto per le Tecnologie della Costruzione	Istituto per le Tecnologie della Costruzione		13	www.itc.cnr.it	cnr	0
32	Istituto di Ricerca per la Protezione Idrogeologica	Istituto di Ricerca per la Protezione Idrogeologica		13	www.irpi.cnr.it	cnr	0
33	Istituto per le Applicazioni del Calcolo Mauro Picone	Istituto per le Applicazioni del Calcolo Mauro Picone		13	www.iac.cnr.it	cnr	0
34	Istituto dei Sistemi Complessi	Istituto dei Sistemi Complessi		13	www.isc.cnr.it	cnr	0
35	Istituto di Ricerche sulla Popolazione e le Politiche Sociali	Istituto di Ricerche sulla Popolazione e le Politiche Sociali		13	www.irpps.cnr.it	cnr	0
36	College of New Rochelle	College of New Rochelle		0	www.cnr.edu	cnr	0
37	International Institute of Tropical Agriculture	International Institute of Tropical Agriculture		0	www.iita.org	iita	0
38	Council for the Development of Social Science Research in Africa	Council for the Development of Social Science Research in Africa		0	www.codesria.org	codesria	0
39	Council for Scientific and Industrial Research	Council for Scientific and Industrial Research		0	www.csir.co.za	csir	0
40	Council of Scientific and Industrial Research	Council of Scientific and Industrial Research		0	www.csir.res.in	csir	0
41	Central Statistical Service	Central Statistical Service		0	www.statssa.gov.za	statssa	0
42	South African Astronomical Observatory	South African Astronomical Observatory		0	www.saao.ac.za	saao	0
43	National Research Foundation	National Research Foundation, South Africa		0	www.nrf.ac.za	nrf	0
44	South African Weather Service	South African Weather Service		0	www.weathersa.co.za	weathersa	0
45	African Institute for Mathematical Sciences	African Institute for Mathematical Sciences		0	www.aims.ac.za	aims	0
46	Australian Institute of Marine Science	Australian Institute of Marine Science		0	www.aims.gov.au	aims	0
47	Aims Community College	Aims Community College		0	www.aims.edu	aims	0
48	Aims Institute of Management Scieces Multan Punjab	Aims Institute of Management Scieces Multan Punjab		0	www.aims.edu.pk	aims	0
49	Asian Institute of Maritime Studies	Asian Institute of Maritime Studies		0	www.aims.ph	aims	0
50	South African Medical Research Council	South African Medical Research Council		0	www.mrc.ac.za	mrc	0
51	Medical Research Council	Medical Research Council		0	www.mrc.ac.uk	mrc	0
52	Medical Research Council Human Genetics Unit	Medical Research Council Human Genetics Unit		51	www.hgu.mrc.ac.uk	mrc	0
