7776	23	Who Links to Whom: Mining Linkage between Web Sites
7941	23	On Mining General Temporal Association Rules in a Publication Database
10474	23	Mining Genes in DNA Using GeneScout
16822	23	Text Clustering Based on Good Aggregations
19259	23	Discovering Frequent Geometric Subgraphs
19817	23	A Computational Environment for Extracting Rules from Databases
22665	23	Dynamic Weighted Majority: A New Ensemble Method for Tracking Concept Drift
25381	23	An Incremental Approach to Building a Cluster Hierarchy
25710	23	gSpan: Graph-Based Substructure Pattern Mining
29029	23	On Computing Condensed Frequent Pattern Bases
30354	23	SmartMiner: A Depth First Algorithm Guided by Tail Information for Mining Maximal Frequent Itemsets
31494	23	Using Sequential and Non-Sequential Patterns in Predictive Web Usage Mining Tasks
31890	23	Validating and Refining Clusters via Visual Rendering
32272	23	Identifying Markov Blankets with Decision Tree Induction
34620	23	Mining Associations by Pattern Structure in Large Relational Tables
35193	23	Progressive Modeling
36477	23	Heterogeneous Learner for Web Page Classification
41445	23	Speed-up Iterative Frequent Itemset Mining with Constraint Changes
44063	23	Meta-patterns: Revealing Hidden Periodic Patterns
44376	23	InfoMiner+: Mining Partial Periodic Patterns with Gap Penalties
46200	23	Learning from Order Examples
47907	23	Incremental Learning with Support Vector Machines
49554	23	Adaptive dimension reduction for clustering high dimensional data
50934	23	Automatic Topic Identification Using Webpage Clustering
52067	23	A Min-max Cut Algorithm for Graph Partitioning and Data Clustering
53079	23	Detecting Patterns in the LSI Term-Term Matrix
55143	23	Hierarchical Text Classification and Evaluation
55431	23	Mining Motifs in Massive Time Series Databases
57425	23	Creating Ensembles of Classifiers
58240	23	Mixtures of ARMA Models for Model-Based Time Series Clustering
58266	23	webSPADE: A Parallel Sequence Mining Algorithm to Analyze Web Log Data
58999	23	A Formal Model for User Preference
60721	23	Modal-style Operators in Qualitative Data Analysis
61359	23	Data Analysis and Mining in Ordered Information Tables
70765	23	Clustering Validity Assessment: Finding the Optimal Partitioning of a Data Set
75085	23	Using Rule Sets to Maximize ROC Performance
78231	23	H-Mine: Hyper-Structure Mining of Frequent Patterns in Large Databases
87530	23	Combining Labeled and Unlabeled data for Text Classification with a Large Number of Categories
88257	23	On Effective Conceptual Indexing and Similarity Search in Text Data
88322	23	Efficiently Mining Maximal Frequent Itemsets
94079	23	Generating an informative cover for association rules
96454	23	Extracting Experience through Protocol Analysis
97208	23	alpha-Surface and Its Application to Mining Protein Data
100266	23	Mining the Web with Active Hidden Markov Models
100612	23	A comparison of stacking with meta decision trees to other combining methods
102541	23	An Online Algorithm for Segmenting Time Series
102868	23	Fast Parallel Association Rule Mining without Candidacy Generation
102924	23	A comparison of stacking with MDTs to bagging, boosting, and other stacking methods
104566	23	Theory and Applications of Attribute Decomposition
110859	23	Time Series Segmentation for Context Recognition in Mobile Devices
119874	23	Incremental Support Vector Machine Construction
122319	23	Closing the Loop: An Agenda- and Justification-Based Framework for Selecting the Next Discovery Task to Perform
123858	23	Closing the Loop: Heuristics for Autonomous Discovery
125149	23	Frequent Subgraph Discovery
125474	23	Mining Decision Trees from Data Streams in a Mobile Environment
126281	23	LPMiner: An Algorithm for Finding Frequent Itemsets Using Length-Decreasing Support Constraint
129050	23	A Fast Algorithm to Cluster High Dimensional Basket Data
129735	23	Visualisation for Data Mining
130586	23	A Scalable Algorithm for Clustering Sequential Data
141349	23	A Tight Upper Bound on the Number of Candidate Patterns
420963	23	Classification with Degree of Membership: A Fuzzy Approach
422141	23	Evaluating Boosting Algorithms to Classify Rare Classes: Comparison and Improvements
422697	23	Estimating the number of segments in time series data using permutation tests
426330	23	Cluster merging and splitting in hierarchical clustering algorithms
524250	23	Employing Discrete Bayes Error rate for discretization and feature selection
