4031	22	A Fast Regular Expression Indexing Engine
7859	22	XR-Tree: Indexing XML Data for Efficient Structural Joins
8155	22	Multiple Query Optimization by Cache-Aware Middleware Using Query Teamwork
10439	22	Keyword Proximity Search on XML Graphs
10660	22	A Publish & Subscribe Architecture for Distributed Metadata Management
11431	22	An Adaptive and Efficient Dimensionality Reduction Algorithm for High-Dimensional Indexing
14014	22	Managing Data Mappings in the Hyperion Project
19010	22	Text Joins for Data Cleansing and Integration in an RDBMS
21089	22	Extensible and Similarity-Based Grouping for Data Integratio
22992	22	Navigation- vs. Index-Based XML Multi-Query Processing
23782	22	Representing Web Graphs
27813	22	Design and Implementation of a High-Performance Distributed Web Crawler
27818	22	Ranked Join Indices
28469	22	An Intuitive Framework for Understanding Changes in Evolving Data Streams
30166	22	Cost Models for Overlapping and Multi-Version B-Trees
30332	22	Joining Massive High-Dimensional Datasets
30999	22	Implementing P3P Using Database Technology
32751	22	CMP: A Fast Decision Tree Classifier Using Multivariate Predictions
34743	22	An Optimized Multicast-based Data Dissemination Middleware
35266	22	Measuring and Optimizing a System for Persistent Database Sessions
35388	22	Distributed Query Processing on the Web
38138	22	Indexing Weighted-Sequences in Large Databases
38422	22	SWAT: Hierarchical Stream Summarization in Large Networks
38632	22	Recovery Guarantees for General Multi-Tier Applications
39674	22	Exploring Spatial Datasets with Histograms
41855	22	The BINGO! Focused Crawler: From Bookmarks to Archetypes
42311	22	Query Estimation by Adaptive Sampling
43324	22	MEMS-based Disk Buffer for Streaming Media Servers
43609	22	Efficiently Ordering Query Plans for Data Integration
44116	22	Capturing Sensor-Generated Time Series with Quality Guarantees
44290	22	BestPeer: A Self-Configurable Peer-to-Peer System
44886	22	Design and Implementation of a Temporal Extension of SQL
46482	22	Querying Text Databases for Efficient Information Extraction
46528	22	CLUSEQ: Efficient and Effective Sequence Clustering
48897	22	Flux: An Adaptive Partitioning Operator for Continuous Query Systems
49233	22	OSSM: A Segmentation Approach to Optimize Frequency Counting
51104	22	Content-Based Video Indexing for the Support of Digital Library Search
52058	22	XPath Query Evaluation: Improving Time and Space Efficiency
53735	22	GADT: A Probability Space ADT for Representing and Querying the Physical World
63607	22	Efficient Searches for Similar Subsequences of Different Lengths in Sequence Databases
65428	22	Keyword Searching and Browsing in Databases using BANKS
70230	22	Data Integration by Bi-Directional Schema Transformation Rules
74288	22	Discovering Similar Multidimensional Trajectories
75119	22	Mining Partially Periodic Event Patterns With Unknown Periods
75257	22	Streaming-Data Algorithms For High-Quality Clustering
75754	22	Speeding up View Maintenance Using Cheap Filters at the Warehouse
78481	22	Exploiting Local Similarity for Indexing Paths in Graph-Structured Data
81932	22	Out From Under the Trees
82502	22	Discovery and Application of Check Constraints in DB2
84082	22	Evaluating Top-k Queries over Web-Accessible Databases
